"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"Fam69b","OK",0,86.9229049281647,0.210919339035247,"Fam69b",0
"Rpl7a","OK",0,204.206201193107,0.494847406862523,"Rpl7a",0
"Surf4","OK",0,75.0567845383855,0.182124999833972,"Surf4",0
"Sardh","OK",0,51.0738853449361,0.123626154758864,"Sardh",0
"Wdr5","OK",0,37.7968300967561,0.0916812874575944,"Wdr5",0
"Col5a1","OK",0,81.7739518273008,0.198348875371037,"Col5a1",0
"Fcnb","OK",0,238.071605904074,0.576100471848178,"Fcnb",0
"Olfm1","OK",0,64.4708731047093,0.156238776646872,"Olfm1",0
"Gfi1b","OK",0,177.032885628266,0.429663834143814,"Gfi1b",0
"2600006K01Rik","OK",0,41.2538390699915,0.0999567267370063,"2600006K01Rik",0
"Cercam","OK",0,44.6310432894405,0.108227043087625,"Cercam",0
"Odf2","OK",0,38.6757815513654,0.0938143314649588,"Odf2",0
"Sptan1","OK",0,54.0631070197259,0.131163044522226,"Sptan1",0
"Set","OK",0,181.246417191035,0.439654536304974,"Set",0
"Endog","OK",0,74.0795983976394,0.179749804280589,"Endog",0
"Spout1","OK",0,40.5451136397129,0.0983524698680441,"Spout1",0
"Ptpa","OK",0,40.6761470651511,0.0986697317087634,"Ptpa",0
"Tor1a","OK",0,64.2644526370566,0.155929348679606,"Tor1a",0
"Ass1","OK",0,153.324940044213,0.372115914570984,"Ass1",0
"Exosc2","OK",0,47.1148825903631,0.114299690779537,"Exosc2",0
"Swi5","OK",0,118.916438247148,0.288489757333108,"Swi5",0
"1110008P14Rik","OK",0,55.6276211425159,0.13495903594542,"1110008P14Rik",0
"Lcn2","OK",0,272.677212971105,0.661414773113915,"Lcn2",0
"St6galnac4","OK",0,53.1741040186591,0.129007938858278,"St6galnac4",0
"Eng","OK",0,48.5581458379075,0.117803047485024,"Eng",0
"Fpgs","OK",0,54.3118898975129,0.131767655572122,"Fpgs",0
"Sh2d3c","OK",0,42.2854391845304,0.102551296221421,"Sh2d3c",0
"Stxbp1","OK",0,58.1342875622843,0.141040184244335,"Stxbp1",0
"Rpl12","OK",0,262.665455722944,0.636557253112305,"Rpl12",0
"Mvb12b","OK",0,39.1478435197508,0.0949585215676838,"Mvb12b",0
"Pbx3","OK",0,48.3743787454399,0.117348559013863,"Pbx3",0
"Hspa5","OK",0,180.606277101133,0.438280547730079,"Hspa5",0
"Psmd5","OK",0,41.7019471900261,0.101160733426339,"Psmd5",0
"Cntrl","OK",0,40.8631506746406,0.0991243307628476,"Cntrl",0
"Gsn","OK",0,121.403853533519,0.294574274156188,"Gsn",0
"Stom","OK",0,93.0822721490859,0.225880651503505,"Stom",0
